"EventId","Event","AccountName","ProcessName","RequestInformationAccess","DateTime","Tipo de Objeto Eliminado","Ruta del Objeto Eliminado"
"4663","Intento de acceso a un objeto","osval","C:\Windows\explorer.exe","DELETE","09/08/2023 06:51:53 p. m.","Archivo","E:\$RECYCLE.BIN\S-1-5-21-3962834182-2584316128-1257020909-1001\$RZI2L2Z"
"4663","Intento de acceso a un objeto","osval","C:\Windows\explorer.exe","DELETE","09/08/2023 06:51:53 p. m.","Archivo","E:\$RECYCLE.BIN\S-1-5-21-3962834182-2584316128-1257020909-1001\$RZ4LQZC"
"4659","Inicio de una operacion de rastreo de volumen","osval","ProcessId: 0x5756","DELETE","09/08/2023 06:51:52 p. m.","Volumen","E:\$RECYCLE.BIN\S-1-5-21-3962834182-2584316128-1257020909-1001\$RTH8Z5R.txt"
"4663","Intento de acceso a un objeto","osval","C:\Windows\explorer.exe","DELETE","09/08/2023 06:51:52 p. m.","Archivo","E:\$RECYCLE.BIN\S-1-5-21-3962834182-2584316128-1257020909-1001\$RTAH4J3"
"4663","Intento de acceso a un objeto","osval","C:\Windows\explorer.exe","DELETE","09/08/2023 06:51:52 p. m.","Archivo","E:\$RECYCLE.BIN\S-1-5-21-3962834182-2584316128-1257020909-1001\$RTAH4J3"
"4659","Inicio de una operacion de rastreo de volumen","osval","ProcessId: 0x5756","DELETE","09/08/2023 06:51:51 p. m.","Volumen","E:\$RECYCLE.BIN\S-1-5-21-3962834182-2584316128-1257020909-1001\$RS7SN9G.txt"
"4663","Intento de acceso a un objeto","osval","C:\Windows\explorer.exe","DELETE","09/08/2023 06:51:43 p. m.","Archivo","E:\$RECYCLE.BIN\S-1-5-21-3962834182-2584316128-1257020909-1001\$RK328F6"
"4663","Intento de acceso a un objeto","osval","C:\Windows\explorer.exe","DELETE","09/08/2023 06:51:43 p. m.","Archivo","E:\$RECYCLE.BIN\S-1-5-21-3962834182-2584316128-1257020909-1001\$RK328F6"
"4663","Intento de acceso a un objeto","osval","C:\Windows\explorer.exe","DELETE","09/08/2023 06:51:42 p. m.","Archivo","E:\$RECYCLE.BIN\S-1-5-21-3962834182-2584316128-1257020909-1001\$RAHXF7O"
"4659","Inicio de una operacion de rastreo de volumen","osval","ProcessId: 0x5756","DELETE","09/08/2023 06:51:42 p. m.","Volumen","E:\$RECYCLE.BIN\S-1-5-21-3962834182-2584316128-1257020909-1001\$R8NXGVE.txt"
"4663","Intento de acceso a un objeto","osval","C:\Windows\explorer.exe","DELETE","09/08/2023 12:05:59 a. m.","Archivo","E:\$RECYCLE.BIN\S-1-5-21-3962834182-2584316128-1257020909-1001\$RULYDBN"
"4663","Intento de acceso a un objeto","osval","C:\Windows\explorer.exe","DELETE","09/08/2023 12:05:46 a. m.","Archivo","E:\Desktop\NetSharing"
"4663","Intento de acceso a un objeto","osval","C:\Windows\explorer.exe","DELETE","09/08/2023 12:05:46 a. m.","Archivo","E:\Desktop\NetSharing"
"4663","Intento de acceso a un objeto","osval","C:\Windows\explorer.exe","DELETE","09/08/2023 12:02:31 a. m.","Archivo","E:\$RECYCLE.BIN\S-1-5-21-3962834182-2584316128-1257020909-1001\$RQJ00SD"
"4663","Intento de acceso a un objeto","osval","C:\Windows\explorer.exe","DELETE","09/08/2023 12:02:22 a. m.","Archivo","E:\Desktop\NetSharing"
"4663","Intento de acceso a un objeto","osval","C:\Windows\explorer.exe","DELETE","09/08/2023 12:02:22 a. m.","Archivo","E:\Desktop\NetSharing"
"4663","Intento de acceso a un objeto","osval","C:\Windows\explorer.exe","DELETE","08/08/2023 11:43:20 p. m.","Archivo","E:\Desktop\NetSharing\a.txt"
"4663","Intento de acceso a un objeto","osval","C:\Windows\explorer.exe","DELETE","08/08/2023 11:43:20 p. m.","Archivo","E:\Desktop\NetSharing\a.txt"
"4659","Inicio de una operacion de rastreo de volumen","invitado2","ProcessId: 0x4","DELETE","08/08/2023 10:40:09 p. m.","Volumen","E:\Desktop\NetSharing\d.txt"
"4663","Intento de acceso a un objeto","osval","C:\Windows\explorer.exe","DELETE","08/08/2023 10:39:45 p. m.","Archivo","E:\Desktop\NetSharing\c.txt"
"4663","Intento de acceso a un objeto","osval","C:\Windows\explorer.exe","DELETE","08/08/2023 10:39:45 p. m.","Archivo","E:\Desktop\NetSharing\c.txt"
"4659","Inicio de una operacion de rastreo de volumen","invitado2","ProcessId: 0x4","DELETE","08/08/2023 10:39:37 p. m.","Volumen","E:\Desktop\NetSharing\f.txt"
"4659","Inicio de una operacion de rastreo de volumen","invitado2","ProcessId: 0x4","DELETE","08/08/2023 10:30:43 p. m.","Volumen","E:\Desktop\NetSharing\b.txt"
"4663","Intento de acceso a un objeto","osval","C:\Windows\explorer.exe","DELETE","08/08/2023 10:09:28 p. m.","Archivo","E:\Desktop\NetSharing\demo123 - copia.txt"
"4663","Intento de acceso a un objeto","osval","C:\Windows\explorer.exe","DELETE","08/08/2023 10:09:26 p. m.","Archivo","E:\Desktop\NetSharing\demo123 - copia (6).txt"
"4663","Intento de acceso a un objeto","osval","C:\Windows\explorer.exe","DELETE","08/08/2023 10:09:25 p. m.","Archivo","E:\Desktop\NetSharing\demo123 - copia (5).txt"
"4663","Intento de acceso a un objeto","osval","C:\Windows\explorer.exe","DELETE","08/08/2023 10:07:42 p. m.","Archivo","E:\Desktop\NetSharing\demo123 - copia (4).txt"
"4663","Intento de acceso a un objeto","osval","C:\Windows\explorer.exe","DELETE","08/08/2023 10:06:48 p. m.","Archivo","E:\Desktop\NetSharing\demo123 - copia (3).txt"
"4659","Inicio de una operacion de rastreo de volumen","invitado2","ProcessId: 0x4","DELETE","08/08/2023 10:06:27 p. m.","Volumen","E:\Desktop\NetSharing\a.txt"
"4663","Intento de acceso a un objeto","osval","C:\Windows\explorer.exe","DELETE","08/08/2023 10:06:20 p. m.","Archivo","E:\Desktop\NetSharing\demo123 - copia (2).txt"
